Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Sneakers donna in vernice e camoscio marrone r25642w,r25642w,donna,sneakers,sneakers,marrone,111.93,159.9,30.0,Melluso
Sneakers donna in vernice e pelle nero r25641w,r25641w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in vernice e camoscio moro r25641w,r25641w,donna,sneakers,sneakers,moro,111.93,159.9,30.0,Melluso
Sneakers donna in pelle cuoio r25634w,r25634w,donna,sneakers,sneakers,cuoio,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio topo r25634w,r25634w,donna,sneakers,sneakers,topo,111.93,159.9,30.0,Melluso
Sneakers donna in pelle nero r25634w,r25634w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in vernice nero r25625w,r25625w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in pelle nero r25625w,r25625w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio nero r25625w,r25625w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio blu navy r25625w,r25625w,donna,sneakers,sneakers,navy,111.93,159.9,30.0,Melluso
Sneakers donna in pelle e camoscio beige r25551w,r25551w,donna,sneakers,sneakers,beige,111.93,159.9,30.0,Melluso
Sneakers donna in vernice e pelle beige r25545w,r25545w,donna,sneakers,sneakers,beige,111.93,159.9,30.0,Melluso
Sneakers donna in vernice e pelle nero r25545w,r25545w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio e pelle beige r25542w,r25542w,donna,sneakers,sneakers,beige,104.93,149.9,30.0,Melluso
Sneakers donna in camoscio verde r25656w,r25656w,donna,sneakers,sneakers,verde,108.5,155.0,30.0,Melluso
Sneakers donna in camoscio nero r25656w,r25656w,donna,sneakers,sneakers,nero,108.5,155.0,30.0,Melluso
Sneakers donna in camoscio bordo r25656w,r25656w,donna,sneakers,sneakers,bordo,108.5,155.0,30.0,Melluso
Sneakers donna in camoscio topo r25656w,r25656w,donna,sneakers,sneakers,topo,108.5,155.0,30.0,Melluso
Sneakers donna in pelle e camoscio nero r25552,r25552,donna,sneakers,sneakers,nero,115.5,165.0,30.0,Melluso
Sneakers donna in camoscio topo r25625w,r25625w,donna,sneakers,sneakers,topo,111.93,159.9,30.0,Melluso
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0,0.0,Melluso
