Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Sneakers BRUCE Sabbia,BRUCE,uomo,sneakers,Sneakers,Sabbia,94.9,94.9
Sneakers BRUCE Bianco Cuoio,BRUCE,uomo,sneakers,Sneakers,Cuoio,94.9,94.9
Sneakers BRUCE Verde,BRUCE,uomo,sneakers,Sneakers,Verde,94.9,94.9
Sneakers BRUCE Grigio Blu,BRUCE,uomo,sneakers,Sneakers,Blu,94.9,94.9
Sneakers BRUCE Testa di Moro,BRUCE,uomo,sneakers,Sneakers,Moro,94.9,94.9
Sneakers NICK Bianco,NICK,uomo,sneakers,Sneakers,Bianco,99.9,99.9
Sneakers NICK Cuoio,NICK,uomo,sneakers,Sneakers,Cuoio,99.9,99.9
Sneakers CHAD con cerniera Bianco Nero,CHAD,uomo,sneakers,Sneakers,Nero,79.9,79.9
Sneakers CHAD Blu,CHAD,uomo,sneakers,Sneakers,Blu,79.9,79.9
Sneakers CHAD Bianco,CHAD,uomo,sneakers,Sneakers,Bianco,79.9,79.9
Sneakers GIL Blu Grigio,GIL,uomo,sneakers,Sneakers,Grigio,75.9,94.9
Sneakers GIL Nero Grigio,GIL,uomo,sneakers,Sneakers,Grigio,75.9,94.9
